  ,filename,title,author,creator,date ,description,subject,location,latitude,longitude,geo_reference,source,identifier,type,format,language,rights,rightsstatement,
blackworld047,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA54#v=onepage&q&f=false,Pigs,Everett Hoagland,johnson Publishing,1974.08,A short story about a Black Muslim couple and preserving their heritage through food,"Black Authors, Short Story","New Bedford, Massachusetts",41.6873536,-70.92650068,Subject,Google Books,1974.07.54,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld048,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA57#v=onepage&q&f=false,"Batuki: For Recalcitrant Cape Verdean Americans and Other ""Black"" Portugese",Everett Hoagland,johnson Publishing,1974.08,A poem about Black Portugese Identity,"Black Authors, Portuguese Africa, African History","Dartmouth, Massachusetts",41.62669965,-71.00545506,Author,Google Books,1974.07.57,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld049,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA65#v=onepage&q&f=false,Tanzania-Zambia Railway to be Completed by September,,johnson Publishing,1974.08,An announcement that the Tanzania-Zambia roadway would be complete by September 1974 and give Zambia ocean access.,African History,Zambia,-13.83410996,28.11357257,Subject,Google Books,1974.07.65,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld050,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA66#v=onepage&q&f=false,Pan African Notes,,johnson Publishing,1974.08,"This article shares various news announcements about the activities of Pan Africanists. Some notable scholars include Dawolu Gene Locke, Akbar Muhammad, Pancho Kadiysky and more.","African History, PanAfricanism, ","Houston, Texas",29.76909763,-95.38215016,Subject,Google Books,1974.07.66,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld051,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA77#v=onepage&q&f=false,"""To Follow""",Alonso 4X,johnson Publishing,1974.08,"In this article, Alonso 4X critiques the beliefs of Black youth activists. Hebelieves that Black people have spread themselves thin advocating for too many issues, and are not focusing on the 'core' issue of racism. He asks that Black people stop being obsessed with white culture, and the only way to achieve true liberation is to reject all things white.","Black Nationalist Thought, Nation of Islam","Newark, New Jersey",40.76489703,-74.17691111,Author,Google Books,1974.07.77,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld052,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA80#v=onepage&q&f=false,Nigeria Acts to Protect Traditional Art,,johnson Publishing,1974.08,This brief article announces new laws in Nigeria that were made to prevent the trafficking of antiquities. ,"African History, archeology",Nigeria,9.58128721,7.634859034,Subject,Google Books,1974.07.80,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld053,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA81#v=onepage&q&f=false,Intellectual Genocide,Patricia Ann Johnson,johnson Publishing,1974.08,"This brief article discusses how intelligence tests, like the IQ test, are weaponized against marginalized communties. These tests deem Black children intellectually insuffient, without examining underlying causes of academic underperformance.",Education,"Carbondale, Illinois","37.709290402737544, ",-89.23934426,Author,Google Books,1974.07.81,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld054,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld055,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld056,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld057,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld058,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld059,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld060,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld061,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld062,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld063,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld064,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld065,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld066,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld067,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld068,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld069,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld070,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld071,,,,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld072,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=true,Du Bois' Uses of History,S. Jay Walker,Johnson Publishing,1975.02,An analysis of W.E.B. Du Bois thoughts about historians and how he felt other historians should look apon history as their own and retell the stories from their own standards and not the views of white people.,"Black Historians, Views of History, Storytelling","New York City, NY",40.70847135,-74.01132295,,Google Books,1975.02.4,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
